certainty,property,type
0.698581404,purple,bare
0.701883402,shiny,bare
0.72838129,short,bare
0.719294669,clean,bare
0.725393253,bulky,bare
0.673927789,beige,bare
0.675585703,striped,bare
0.717678762,loose,bare
0.703820692,oily,bare
0.681641617,fuzzy,bare
0.601856767,purple,looks
0.602384776,short,looks
0.602384776,shiny,looks
0.60583184,clean,looks
0.606826907,striped,looks
0.607685565,bulky,looks
0.607213426,beige,looks
0.610102185,loose,looks
0.611523185,oily,looks
0.612210154,fuzzy,looks
